int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,1000,0.15,57.0,5.737949346405229
1,50,1000,0.19117647058823528,57.0,6.391272902603666
2,50,1000,0.15,57.0,5.10053475935829
3,100,1000,0.0,33.0,9.702384737678855
4,100,1000,0.0,33.0,6.31425673717763
5,100,1000,0.0,33.0,7.233400178253119
6,250,1000,0.0,13.0,13.564171122994649
7,250,1000,0.0,13.0,8.948128342245989
8,250,1000,0.0,13.0,13.263197586727003
9,500,1000,0.0,5.0,8.933823529411764
10,500,1000,0.0,5.0,10.531862745098039
11,500,1000,0.0,5.0,37.29117647058824
