int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,1000,0.1,3.7058823529411766,5.216666666666668
1,50,1000,0.15,3.7058823529411766,4.218181818181818
2,50,1000,0.2,3.7058823529411766,6.733333333333333
3,50,1000,0.2,3.7058823529411766,5.952380952380951
4,100,1000,0.0,1.8823529411764706,8.59375
5,100,1000,0.0,1.8823529411764706,4.32142857142857
6,100,1000,0.0,1.8823529411764706,8.200000000000001
7,100,1000,0.0,1.8823529411764706,6.8125
8,250,1000,0.0,0.7647058823529411,10.75
9,250,1000,0.0,0.7647058823529411,12.066666666666665
10,250,1000,0.0,0.7647058823529411,10.400000000000002
11,250,1000,0.0,0.7647058823529411,9.538461538461538
12,500,1000,0.0,0.47058823529411764,17.0
13,500,1000,0.0,0.47058823529411764,7.5
14,500,1000,0.0,0.47058823529411764,13.5
15,500,1000,0.0,0.47058823529411764,21.0
