int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,1000,0.5058823529411764,1184.235294117647,17.238258088814987
1,50,1000,0.46470588235294114,1184.235294117647,16.292426355384315
2,50,1000,0.5558823529411765,1184.235294117647,18.18626201429376
3,100,1000,0.1823529411764706,1610.5294117647059,25.123184906109334
4,100,1000,0.2588235294117647,1610.5294117647059,29.840422998941296
5,100,1000,0.2,1610.5294117647059,23.635304412820982
6,250,1000,0.0,1730.5294117647059,54.161683153797284
7,250,1000,0.0,1730.5294117647059,48.285579798677475
8,250,1000,0.0,1730.5294117647059,41.80644406131111
9,500,1000,0.0,1868.9411764705883,68.98664968755116
10,500,1000,0.0,1868.9411764705883,89.09562855445208
11,500,1000,0.0,1868.9411764705883,48.492150823033185
0,50,1000,0.6088235294117648,1411.1176470588234,18.209081060128963
1,50,1000,0.5470588235294117,1411.1176470588234,16.742168043250548
2,50,1000,0.48823529411764693,1411.1176470588234,15.573463479443038
3,100,1000,0.2529411764705882,1401.9411764705883,23.00416562808554
4,100,1000,0.276470588235294,1401.9411764705883,28.726226597831694
5,100,1000,0.27058823529411763,1401.9411764705883,25.191787955949227
6,250,1000,0.01470588235294118,1439.8235294117646,53.731665227598434
7,250,1000,0.0,1439.8235294117646,64.02394235190035
8,250,1000,0.02941176470588235,1439.8235294117646,63.890670750883814
9,500,1000,0.0,1663.0,80.10550573892408
10,500,1000,0.0,1663.0,69.97890321904163
11,500,1000,0.0,1663.0,66.24805407011289
