int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,2721,143.99264976111724
1,50,5000,2545,154.60039292730843
2,50,5000,2767,143.243223707987
3,50,5000,2772,142.5616883116883
4,50,5000,2708,146.11816838995568
5,50,5000,2783,142.36291771469638
6,50,5000,2631,149.16989737742304
7,50,5000,2672,148.2324101796407
8,50,5000,2782,141.24982027318475
9,50,5000,2573,153.50019432568985
10,50,5000,2673,146.53535353535352
11,50,5000,2611,152.8621217924167
12,50,5000,2452,160.25285481239806
13,50,5000,2664,148.0596846846847
14,50,5000,2579,153.43078712679332
15,50,5000,2593,153.38681064404165
16,50,5000,2649,148.35673839184597
17,50,5000,2552,153.95885579937305
18,50,5000,2706,144.74833702882484
19,50,5000,2484,158.93679549114333
80,100,5000,5624,68.59566145092461
81,100,5000,5557,69.29080439085838
82,100,5000,5924,66.03494260634706
83,100,5000,5977,64.63627237744689
84,100,5000,5985,65.09340016708438
85,100,5000,6106,63.737307566328205
86,100,5000,5755,67.7490877497828
87,100,5000,5698,68.05352755352756
88,100,5000,5699,68.13897174942973
89,100,5000,5860,66.54453924914675
90,100,5000,5981,65.09446580839325
91,100,5000,5899,65.58247160535684
92,100,5000,5444,70.91697281410727
93,100,5000,5403,72.1184527114566
94,100,5000,5963,65.19084353513333
95,100,5000,5532,69.41033984092553
96,100,5000,5878,66.28904389248044
97,100,5000,5799,67.03862734954302
98,100,5000,6022,64.73580205911657
99,100,5000,5749,67.17550878413637
160,250,5000,10622,34.06627753718697
161,250,5000,10554,34.33068031078264
162,250,5000,10530,34.21614434947768
163,250,5000,10530,34.48698955365622
164,250,5000,9831,36.74193876513071
165,250,5000,10748,33.700223297357645
166,250,5000,10390,34.71934552454283
167,250,5000,9955,36.65786037167253
168,250,5000,10112,36.23338607594937
169,250,5000,10339,35.050778605280975
170,250,5000,10641,34.101682172728125
171,250,5000,10194,35.871885422797725
172,250,5000,9972,36.1988567990373
173,250,5000,10301,35.35210173769537
174,250,5000,10851,33.57404847479495
175,250,5000,9796,37.5597182523479
176,250,5000,10510,34.351189343482396
177,250,5000,10334,35.08428488484614
178,250,5000,10172,35.69494691309477
179,250,5000,10648,33.99755822689707
240,500,5000,12698,27.25437076704993
241,500,5000,12481,27.7507411265123
242,500,5000,12504,27.98352527191299
243,500,5000,12591,27.076959733142722
244,500,5000,12563,28.00596991164531
245,500,5000,11300,31.710265486725664
246,500,5000,12153,28.863984201431744
247,500,5000,12516,27.62072547139661
248,500,5000,12695,27.223473808586057
249,500,5000,12332,28.575900097307816
250,500,5000,11622,30.679917398038203
251,500,5000,12818,27.2789826806054
252,500,5000,12491,27.410855816187656
253,500,5000,12469,27.852113240837276
254,500,5000,12549,27.480038250059767
255,500,5000,12550,27.92191235059761
256,500,5000,12863,27.075954287491253
257,500,5000,12964,26.62781548904659
258,500,5000,12778,27.687979339489747
259,500,5000,12824,26.922333125389894
