int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,5457,11.780465457210921
1,50,5000,5230,12.022562141491395
2,50,5000,5267,11.683501044237707
3,50,5000,5353,11.592938539136933
4,50,5000,4884,12.996519246519247
5,50,5000,5406,11.559008509064004
6,50,5000,5254,11.421202893033879
7,50,5000,4937,12.242049827830666
8,50,5000,5453,11.460113698881349
9,50,5000,5015,12.179062811565304
10,50,5000,5268,12.195709946848899
11,50,5000,5409,11.50600850434461
12,50,5000,5250,11.966095238095239
13,50,5000,5171,12.361052020885708
14,50,5000,5241,11.929784392291548
15,50,5000,5464,11.53623718887262
16,50,5000,5482,11.616745713243342
17,50,5000,5176,11.955370942812984
18,50,5000,5548,11.443583273251623
19,50,5000,5379,11.67930842163971
20,100,5000,5710,10.79369527145359
21,100,5000,5904,10.355860433604336
22,100,5000,5901,10.46348076597187
23,100,5000,5709,10.811700823261518
24,100,5000,5298,11.48716496791242
25,100,5000,6002,10.228590469843386
26,100,5000,5765,10.463313096270598
27,100,5000,5811,10.421442092583032
28,100,5000,5335,11.425304592314902
29,100,5000,5406,11.093784683684795
30,100,5000,5592,11.072246065808297
31,100,5000,5524,11.043808834178131
32,100,5000,5897,10.214855011022554
33,100,5000,5520,10.98840579710145
34,100,5000,5621,10.713218288560755
35,100,5000,6023,10.04798273285738
36,100,5000,5841,10.493579866461223
37,100,5000,5542,11.066041140382533
38,100,5000,5465,11.113815187557183
39,100,5000,5746,10.574834667594848
40,250,5000,6129,9.60972426170664
41,250,5000,6033,9.706779380076247
42,250,5000,6014,9.905054871965413
43,250,5000,5836,10.173063742289239
44,250,5000,6268,9.568761965539247
45,250,5000,6068,9.81493078444298
46,250,5000,6136,9.453878748370274
47,250,5000,6227,9.355548418178898
48,250,5000,6015,9.82477140482128
49,250,5000,6195,9.493785310734463
50,250,5000,6170,9.522042139384117
51,250,5000,6034,9.720749088498508
52,250,5000,6126,9.475350963108063
53,250,5000,6058,9.6564872895345
54,250,5000,6139,9.466851278709887
55,250,5000,6303,9.668411867364746
56,250,5000,6008,9.84520639147803
57,250,5000,6189,9.517369526579415
58,250,5000,6049,9.640271119193255
59,250,5000,5859,10.122375832053251
60,500,5000,6354,9.295561850802644
61,500,5000,6470,9.169397217928903
62,500,5000,6073,9.426477852791042
63,500,5000,6003,9.684824254539397
64,500,5000,6247,9.26316631983352
65,500,5000,6219,9.415822479498312
66,500,5000,6089,9.404664148464445
67,500,5000,6311,9.269529393123118
68,500,5000,6204,9.504674403610574
69,500,5000,6375,9.266666666666667
70,500,5000,6112,9.43030104712042
71,500,5000,6090,9.700656814449918
72,500,5000,6204,9.322695035460994
73,500,5000,6269,9.396075929175307
74,500,5000,6225,9.327871485943776
75,500,5000,6173,9.371294346346994
76,500,5000,6368,9.240891959798995
77,500,5000,6240,9.597435897435897
78,500,5000,6251,9.359942409214526
79,500,5000,6219,9.240874738703972
