int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
60,50,5000,3951,20.197165274614022
61,50,5000,3903,20.72995131949782
62,50,5000,4103,18.650743358518156
63,50,5000,3665,22.01036834924966
64,50,5000,3614,22.298007747648036
65,50,5000,3964,20.59939455095863
66,50,5000,4001,20.053486628342913
67,50,5000,4104,19.27485380116959
68,50,5000,3983,19.987195581220185
69,50,5000,3697,22.479307546659452
70,50,5000,3894,20.392141756548536
71,50,5000,3709,21.932866001617686
72,50,5000,4280,18.036214953271028
73,50,5000,4067,20.008114089009098
74,50,5000,4280,18.281308411214955
75,50,5000,3963,20.453192026242746
76,50,5000,4052,19.586623889437316
77,50,5000,3690,22.085636856368563
78,50,5000,4352,17.943474264705884
79,50,5000,3793,21.340100184550487
140,100,5000,4928,14.283887987012987
141,100,5000,5090,13.65540275049116
142,100,5000,5275,13.031658767772512
143,100,5000,4922,14.313896789922795
144,100,5000,4963,14.40822083417288
145,100,5000,5175,13.911111111111111
146,100,5000,4942,14.471064346418453
147,100,5000,5259,13.413766875831907
148,100,5000,5235,12.779369627507164
149,100,5000,4927,14.229754414450984
150,100,5000,4966,14.008860249697946
151,100,5000,4876,14.460828547990156
152,100,5000,5111,13.22539620426531
153,100,5000,5165,13.71674733785092
154,100,5000,4926,14.129313844904589
155,100,5000,4723,14.919119203895828
156,100,5000,5070,13.79664694280079
157,100,5000,5067,13.776593645154923
158,100,5000,4548,15.92854001759015
159,100,5000,4878,14.576465764657646
220,250,5000,6087,10.577131591917201
221,250,5000,5984,10.484959893048128
222,250,5000,5740,11.084494773519165
223,250,5000,5734,10.599581444018137
224,250,5000,5768,10.787101248266296
225,250,5000,5745,11.022976501305482
226,250,5000,5751,10.907668231611893
227,250,5000,5801,10.837097052232373
228,250,5000,5652,11.1569355980184
229,250,5000,5818,11.129597799931247
230,250,5000,5899,11.179352432615698
231,250,5000,5634,11.449059282925097
232,250,5000,5797,10.48231844057271
233,250,5000,5712,10.856442577030812
234,250,5000,5888,10.793138586956522
235,250,5000,5695,11.214574187884109
236,250,5000,5772,11.073284823284823
237,250,5000,5859,10.74278887182113
238,250,5000,5917,10.653878654723677
239,250,5000,5817,11.031459515214028
300,500,5000,6047,10.111625599470813
301,500,5000,6371,9.640401820750276
302,500,5000,6105,9.730876330876331
303,500,5000,6053,10.093837766396828
304,500,5000,6054,10.006937561942518
305,500,5000,5998,9.81993997999333
306,500,5000,5942,10.249579266240323
307,500,5000,6085,9.791454396055876
308,500,5000,6168,9.817931258106356
309,500,5000,6003,9.96351824087956
310,500,5000,5971,10.137330430413666
311,500,5000,6069,9.77788762563849
312,500,5000,6000,10.136833333333334
313,500,5000,5942,10.160552002692697
314,500,5000,5918,10.233355863467388
315,500,5000,5931,10.274658573596358
316,500,5000,6388,9.570288040075141
317,500,5000,5968,10.109081769436997
318,500,5000,6009,9.974205358628723
319,500,5000,6231,9.805809661370567
