int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,1851,202.89141004862236
1,50,5000,1902,198.62723449001052
2,50,5000,1950,195.44051282051282
3,50,5000,1902,197.49684542586752
4,50,5000,1927,194.80954852101712
5,50,5000,1729,213.91266628108733
6,50,5000,1833,202.5291871249318
7,50,5000,2017,185.27268220128903
8,50,5000,1987,188.19275289380977
9,50,5000,1835,202.93188010899183
10,50,5000,1887,196.43667196608374
11,50,5000,1931,193.98083894355256
12,50,5000,1926,192.19730010384217
13,50,5000,1978,187.14004044489383
14,50,5000,1835,203.3231607629428
15,50,5000,1788,207.45581655480984
16,50,5000,1915,196.47728459530026
17,50,5000,1920,194.30625
18,50,5000,1986,183.45015105740183
19,50,5000,1922,195.81893860561914
20,100,5000,3932,94.7149033570702
21,100,5000,3878,96.45771015987623
22,100,5000,4175,90.09700598802395
23,100,5000,3968,95.04511088709677
24,100,5000,3835,98.85658409387223
25,100,5000,4010,93.59476309226933
26,100,5000,4080,92.10857843137255
27,100,5000,3921,96.24942616679418
28,100,5000,3899,96.02103103359836
29,100,5000,3934,94.9023894255211
30,100,5000,3969,94.63265306122449
31,100,5000,3947,94.09526222447428
32,100,5000,4075,91.30552147239264
33,100,5000,3720,101.1233870967742
34,100,5000,3822,97.70041862899006
35,100,5000,3854,96.60845874416191
36,100,5000,4088,92.70327788649706
37,100,5000,3991,93.95139062891506
38,100,5000,4006,94.26859710434348
39,100,5000,3998,92.44372186093047
40,250,5000,7678,46.78549101328471
41,250,5000,7822,45.86397340833546
42,250,5000,7416,49.19700647249191
43,250,5000,7283,48.91953865165454
44,250,5000,7697,47.17929063271404
45,250,5000,7473,48.35220125786164
46,250,5000,8369,42.697574381646554
47,250,5000,7503,47.545648407303744
48,250,5000,7765,46.69504185447521
49,250,5000,7798,46.441138753526545
50,250,5000,8048,44.81051192842942
51,250,5000,7466,48.0713903027056
52,250,5000,7786,45.99332134600565
53,250,5000,8105,43.882294879703885
54,250,5000,7904,45.55275809716599
55,250,5000,7381,48.75409836065574
56,250,5000,7511,48.054719744374914
57,250,5000,7607,47.46838438280531
58,250,5000,7748,45.734770263293754
59,250,5000,7482,48.61761561079925
60,500,5000,10040,34.22788844621514
61,500,5000,9810,35.169622833843015
62,500,5000,9760,35.75266393442623
63,500,5000,9441,36.84058892066518
64,500,5000,9971,35.02597532845251
65,500,5000,9644,35.46059726254666
66,500,5000,10289,33.92438526581786
67,500,5000,9623,35.927881118154424
68,500,5000,9702,35.50474129045558
69,500,5000,9420,36.89437367303609
70,500,5000,9665,36.44842214174858
71,500,5000,8862,39.63078311893478
72,500,5000,9196,38.060678555893865
73,500,5000,9641,36.468416139404624
74,500,5000,9388,37.31955688112484
75,500,5000,9260,37.39676025917927
76,500,5000,9727,35.70422535211268
77,500,5000,9153,38.4306784660767
78,500,5000,10047,35.30456852791878
79,500,5000,9389,37.02279262967302
