int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
40,50,5000,2457,160.85958485958486
41,50,5000,2633,148.65666540068364
42,50,5000,2477,157.83003633427532
43,50,5000,2648,148.4550604229607
44,50,5000,2550,154.44941176470587
45,50,5000,2770,143.67364620938628
46,50,5000,2666,148.13915978994748
47,50,5000,2500,157.8068
48,50,5000,2567,154.9703934553954
49,50,5000,2495,158.02084168336674
50,50,5000,2183,181.43426477324783
51,50,5000,2646,147.7275132275132
52,50,5000,2634,150.3359908883827
53,50,5000,2427,162.51751133086114
54,50,5000,2279,172.8894251864853
55,50,5000,2647,149.19644880997356
56,50,5000,2724,144.5770925110132
57,50,5000,2542,155.82258064516128
58,50,5000,2522,156.32910388580493
59,50,5000,2590,153.38725868725868
120,100,5000,5313,73.21607378129117
121,100,5000,5543,70.04726682302002
122,100,5000,5771,66.77317622595737
123,100,5000,5729,68.2717751789143
124,100,5000,5474,70.37066130800146
125,100,5000,5653,68.35927825933133
126,100,5000,5459,70.93130610001832
127,100,5000,5638,68.64420007094715
128,100,5000,5694,67.87126800140499
129,100,5000,5225,74.79846889952154
130,100,5000,5708,68.07690960056061
131,100,5000,5328,73.0457957957958
132,100,5000,5705,67.948115687993
133,100,5000,5303,72.75523288704507
134,100,5000,5347,72.13203665606882
135,100,5000,5507,70.32721990194298
136,100,5000,5509,70.74950081684516
137,100,5000,6061,64.13776604520706
138,100,5000,5613,68.9360413326207
139,100,5000,5671,67.8836184094516
200,250,5000,10737,34.25835894570178
201,250,5000,10142,36.237132715440744
202,250,5000,10301,35.51820211629939
203,250,5000,10135,36.22910705476073
204,250,5000,10159,35.73639137710405
205,250,5000,10456,34.756599081866874
206,250,5000,10511,34.330320616497005
207,250,5000,10246,35.41967597111068
208,250,5000,10411,35.034578810873114
209,250,5000,10171,35.78202733261233
210,250,5000,10467,34.87923951466514
211,250,5000,10310,34.71978661493696
212,250,5000,10952,32.67868882395909
213,250,5000,10172,35.440326386158084
214,250,5000,10141,36.025638497189625
215,250,5000,10157,35.73643792458403
216,250,5000,10311,35.37445446610416
217,250,5000,10352,35.04008887171561
218,250,5000,10255,35.45099951243296
219,250,5000,10205,35.30700636942675
280,500,5000,12317,28.55833400990501
281,500,5000,12671,27.421434772314733
282,500,5000,12417,27.955947491342513
283,500,5000,12817,27.13372864164781
284,500,5000,11966,29.203242520474678
285,500,5000,12145,28.889419514203375
286,500,5000,12485,27.621866239487385
287,500,5000,12695,27.139818826309572
288,500,5000,12427,27.980606743381347
289,500,5000,12379,28.38985378463527
290,500,5000,12067,28.80334797381288
291,500,5000,12211,28.213823601670626
292,500,5000,12541,27.68415596842357
293,500,5000,12632,27.651440785307155
294,500,5000,12360,27.8123786407767
295,500,5000,12304,28.671651495448636
296,500,5000,12462,27.94912534103675
297,500,5000,12661,27.535028828686517
298,500,5000,12366,28.433608280769853
299,500,5000,12661,27.421688650185608
