int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,1.0,15791.546875,24.17423114517413
1,50,5000,1.0,15064.390625,23.97395870655688
2,50,5000,1.0,16360.53125,23.612267691783195
3,50,5000,1.0,16829.78125,23.941748435120534
4,50,5000,1.0,16088.25,23.773873828527616
5,50,5000,1.0,16128.203125,23.728492676820725
6,50,5000,1.0,15662.171875,23.99571871049237
7,50,5000,1.0,15877.953125,24.1011336213765
8,50,5000,1.0,16272.875,23.861140427518357
9,50,5000,1.0,16073.84375,23.704606401476532
10,50,5000,0.9998468137254902,16135.5,23.897807166513953
11,50,5000,1.0,16167.890625,23.844181047188624
12,50,5000,1.0,16209.75,23.885506763657204
13,50,5000,1.0,16180.203125,23.825370607807
14,50,5000,1.0,16030.71875,23.755728521689623
15,50,5000,1.0,16395.453125,23.814853084941454
16,50,5000,1.0,16070.296875,23.630184700850787
17,50,5000,1.0,15771.703125,24.081391887453805
18,50,5000,1.0,15365.515625,24.13812321299261
19,50,5000,1.0,16248.046875,23.974974229547342
80,100,5000,0.8790625,19874.125,43.01370795163449
81,100,5000,0.851875,19713.453125,42.96193279649932
82,100,5000,0.91625,19951.96875,43.52857062575596
83,100,5000,0.8684375,19750.796875,42.95604806954269
84,100,5000,0.9328125,19666.578125,43.33140974841175
85,100,5000,0.93125,20007.96875,42.79903354614058
86,100,5000,0.8909375,18995.671875,44.20163272764206
87,100,5000,0.9353125,19853.59375,43.75385497810061
88,100,5000,0.8803125,19357.609375,43.73656551507098
89,100,5000,0.9378125,19559.53125,43.54030493127575
90,100,5000,0.87125,20268.578125,42.64007205940892
91,100,5000,0.946875,19246.84375,43.981052658731954
92,100,5000,0.930625,19154.96875,43.288345546730504
93,100,5000,0.884375,21046.875,42.46672750038473
94,100,5000,0.8859375,19339.34375,43.25549261290009
95,100,5000,0.8725,20869.03125,42.91606379529095
96,100,5000,0.87,19338.40625,43.17330386209268
97,100,5000,0.9053125,19920.359375,44.04412523479478
98,100,5000,0.8853125,19762.453125,43.325291465042916
99,100,5000,0.85375,19801.140625,43.59583708014122
160,250,5000,0.4640625,27179.703125,67.26102521983437
161,250,5000,0.54375,26347.015625,68.8816964909405
162,250,5000,0.41796875,27287.390625,67.35684826653399
163,250,5000,0.55078125,26606.75,68.32293418897402
164,250,5000,0.603125,27057.484375,69.59124387243261
165,250,5000,0.6140625,28024.75,67.54909594915101
166,250,5000,0.6234375,26856.1875,67.21780893524215
167,250,5000,0.67578125,27239.90625,67.97782185178211
168,250,5000,0.50625,27441.765625,65.208587757518
169,250,5000,0.5046875,26894.09375,68.72059064771942
170,250,5000,0.578125,27435.328125,69.0123659141037
171,250,5000,0.31328125,26583.703125,65.56819700128705
172,250,5000,0.5140625,26901.421875,68.74111655904306
173,250,5000,0.51171875,28725.984375,66.91501783346611
174,250,5000,0.5984375,26900.671875,68.06602725482226
175,250,5000,0.4421875,26235.890625,67.72416492750003
176,250,5000,0.4515625,26621.984375,67.75500904022186
177,250,5000,0.521875,26249.21875,71.17761214013309
178,250,5000,0.54921875,25855.171875,67.98197291689537
179,250,5000,0.73203125,27015.8125,71.07682214243236
240,500,5000,0.5296875,31541.484375,113.26121259234749
241,500,5000,0.3390625,30359.375,105.59949823150431
242,500,5000,0.6078125,29899.921875,114.07988208318709
243,500,5000,0.3859375,30653.109375,110.59054047188059
244,500,5000,0.5703125,30494.03125,119.2259402418447
245,500,5000,0.546875,30965.9375,111.35794725288193
246,500,5000,0.56875,32027.71875,109.59433486340055
247,500,5000,0.525,30943.859375,114.0073762844346
248,500,5000,0.3046875,30208.0625,101.5770177921493
249,500,5000,0.3375,29934.6875,121.10172087231926
250,500,5000,0.503125,31259.265625,106.52072703899675
251,500,5000,0.3875,30917.515625,108.50671085599808
252,500,5000,0.4234375,30111.5,119.39990882196068
253,500,5000,0.5625,31133.8125,103.75634274823122
254,500,5000,0.4875,30481.796875,118.51935348973235
255,500,5000,0.559375,29764.15625,117.32607077168855
256,500,5000,0.40625,30527.90625,105.34436254744226
257,500,5000,0.4796875,31215.4375,111.49165135241115
258,500,5000,0.2921875,30777.921875,104.5129430246113
259,500,5000,0.4125,31028.890625,107.52209015824886
