int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,1.0,3611.3125,23.60341999911978
1,50,5000,1.0,3408.734375,23.501258914498372
2,50,5000,1.0,3566.96875,23.6719099606317
3,50,5000,1.0,3401.34375,23.507771867653943
4,50,5000,1.0,3586.125,23.42561873364729
5,50,5000,1.0,3533.703125,23.396586541646474
6,50,5000,1.0,3543.40625,23.547256748369872
7,50,5000,1.0,3550.625,23.59484596794033
8,50,5000,1.0,3771.234375,23.939948721100837
9,50,5000,1.0,3629.109375,23.4803101462691
10,50,5000,1.0,3579.6875,23.31630720906764
11,50,5000,1.0,3635.484375,23.902651846760612
12,50,5000,1.0,3639.1875,23.577140519760928
13,50,5000,1.0,3467.796875,23.53847620559832
14,50,5000,1.0,3604.265625,23.353280012841967
15,50,5000,1.0,3424.609375,23.612946183214234
16,50,5000,1.0,3663.234375,23.38349253236164
17,50,5000,1.0,3469.484375,23.516150907533984
18,50,5000,1.0,3657.1875,23.49571370256558
19,50,5000,1.0,3614.9375,23.55996918838544
40,100,5000,0.9978125,3243.171875,45.666833606478896
41,100,5000,1.0,3204.609375,47.13575566004082
42,100,5000,0.9996875,3402.796875,45.979613377419305
43,100,5000,0.99875,3370.75,46.99401217326384
44,100,5000,0.995,3497.5,46.456275733952566
45,100,5000,1.0,3306.125,46.23657745812383
46,100,5000,1.0,3047.9375,47.14026697217442
47,100,5000,0.998125,3305.09375,46.65231743023665
48,100,5000,0.999375,3185.359375,46.796733411708495
49,100,5000,1.0,3311.421875,46.85316349239316
50,100,5000,0.9990625,3311.90625,46.07644288084281
51,100,5000,0.9884375,3408.484375,46.7675882828464
52,100,5000,1.0,3407.5625,46.57139790512746
53,100,5000,1.0,3297.25,46.899239651894085
54,100,5000,0.9959375,3384.609375,46.49716046995346
55,100,5000,0.9996875,3539.859375,47.01847911999934
56,100,5000,0.9990625,3247.59375,46.1347456723603
57,100,5000,0.9990625,3326.21875,46.58961586441251
58,100,5000,0.993125,3465.125,46.28965026654259
59,100,5000,0.998125,3117.859375,45.81755744015566
80,250,5000,0.8953125,2251.546875,110.16272798934708
81,250,5000,0.86171875,2337.03125,105.47282111961844
82,250,5000,0.87421875,2565.46875,108.787850199029
83,250,5000,0.840625,2472.625,109.31203303553828
84,250,5000,0.88359375,2417.34375,107.44237000980917
85,250,5000,0.821875,2543.625,111.08248101554915
86,250,5000,0.8796875,2342.546875,113.75162486799445
87,250,5000,0.90078125,2454.28125,111.48294063580195
88,250,5000,0.86796875,2458.28125,111.31937872956094
89,250,5000,0.8734375,2376.6875,109.45983646922772
90,250,5000,0.86171875,2526.359375,110.76527487458254
91,250,5000,0.82578125,2493.671875,109.13376070807091
92,250,5000,0.91015625,2472.59375,109.25109629767478
93,250,5000,0.871875,2308.875,108.76260074177223
94,250,5000,0.90546875,2326.40625,114.30766948582722
95,250,5000,0.8859375,2442.640625,108.36811286650426
96,250,5000,0.83515625,2501.34375,108.29370839064384
97,250,5000,0.8828125,2395.265625,110.39098134990813
98,250,5000,0.91328125,2349.515625,112.06029822292338
99,250,5000,0.865625,2442.765625,109.04347254367505
120,500,5000,0.8671875,1745.515625,198.15177430029806
121,500,5000,0.853125,1981.703125,200.29887368674667
122,500,5000,0.7515625,1763.296875,198.2038096528184
123,500,5000,0.7609375,1822.234375,201.87561429328636
124,500,5000,0.725,1810.5,186.58894092282804
125,500,5000,0.81875,1754.421875,187.74374910417527
126,500,5000,0.7625,1818.9375,202.69122731594672
127,500,5000,0.6859375,1769.265625,198.51169472905795
128,500,5000,0.7578125,1722.28125,192.32637300744506
129,500,5000,0.7953125,1700.234375,205.40408342869958
130,500,5000,0.890625,1777.5,211.04453647275832
131,500,5000,0.803125,1820.515625,199.79060874906008
132,500,5000,0.74375,1814.65625,192.2182024338613
133,500,5000,0.725,1847.140625,202.63926863676846
134,500,5000,0.7859375,1611.390625,208.4292323750798
135,500,5000,0.796875,1711.0625,196.09424366474917
136,500,5000,0.7515625,1754.28125,201.58374911663742
137,500,5000,0.7390625,1912.90625,208.1273841751105
138,500,5000,0.759375,1792.015625,209.66428335163104
139,500,5000,0.728125,1868.5,198.06911951465136
