int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,0.9805453431372549,1963.0,10.537279358054162
1,50,5000,0.9803921568627451,1944.0,10.002160620541675
2,50,5000,0.960171568627451,1914.0,9.8455632932108
3,50,5000,0.9705882352941176,2017.0,10.60878519330462
4,50,5000,0.9803921568627451,2102.0,11.3582717721613
5,50,5000,0.9799325980392157,1959.0,10.570413476121107
6,50,5000,1.0,1985.0,10.617076637706544
7,50,5000,0.9803921568627451,2005.0,10.18824394883448
8,50,5000,0.9705882352941176,1990.0,9.980767956805161
9,50,5000,0.9705882352941176,1855.0,9.445624573191125
10,50,5000,1.0,1856.0,9.787623183245167
11,50,5000,0.9898897058823529,1962.0,9.951616083429547
12,50,5000,0.9901960784313726,1964.0,10.63389861545019
13,50,5000,0.9901960784313726,2004.0,11.26571974732234
14,50,5000,0.9511335784313726,1947.0,9.778715896045997
15,50,5000,0.9906556372549019,1981.0,10.943126931430461
16,50,5000,0.9707414215686274,1846.0,10.207844235197545
17,50,5000,0.9708946078431373,2146.0,10.902371950598193
18,50,5000,0.9505208333333334,2016.0,10.632373247785086
19,50,5000,0.9509803921568627,1851.0,9.801676031442256
20,100,5000,0.9,1291.0,25.277499328046595
21,100,5000,0.8221875,1342.0,24.174853256051286
22,100,5000,0.8409375,1578.0,29.739854519222
23,100,5000,0.80125,1400.0,26.44542190894473
24,100,5000,0.899375,1328.0,24.188747264406917
25,100,5000,0.94,1324.0,25.887060092933996
26,100,5000,0.8790625,1382.0,26.581232737227626
27,100,5000,0.8190625,1725.0,29.05893517134964
28,100,5000,0.8596875,1557.0,25.90200342329748
29,100,5000,0.8990625,1603.0,26.653871328568215
30,100,5000,0.820625,1717.0,28.600549349207334
31,100,5000,0.88,1555.0,28.957850492197927
32,100,5000,0.84125,1577.0,28.44404288194231
33,100,5000,0.9396875,1534.0,25.263707428589093
34,100,5000,0.920625,1383.0,24.991825100897344
35,100,5000,0.8796875,1338.0,24.74002281944314
36,100,5000,0.7784375,1453.0,26.2784954156198
37,100,5000,0.8796875,1375.0,24.612022667700074
38,100,5000,0.8603125,1587.0,29.20770484697889
39,100,5000,0.86,1447.0,26.650701198632152
40,250,5000,0.55078125,1028.0,82.78857483603204
41,250,5000,0.40390625,1339.0,93.97602989017545
42,250,5000,0.69609375,1032.0,89.2861294433129
43,250,5000,0.45078125,1057.0,85.58170385556508
44,250,5000,0.45078125,1081.0,78.81638637514565
45,250,5000,0.55234375,888.0,79.20639140121874
46,250,5000,0.59921875,956.0,82.50746990519866
47,250,5000,0.60234375,1157.0,93.44448141835734
48,250,5000,0.55,949.0,86.29717470599101
49,250,5000,0.54609375,1302.0,93.92533041927958
50,250,5000,0.403125,1005.0,77.33460191180693
51,250,5000,0.75078125,957.0,87.51675602900833
52,250,5000,0.40078125,1222.0,92.34474257396256
53,250,5000,0.55,997.0,83.76154401922514
54,250,5000,0.5453125,1289.0,90.14032598375933
55,250,5000,0.5984375,840.0,75.1455899226114
56,250,5000,0.40234375,1105.0,94.29670155203095
57,250,5000,0.6484375,1389.0,96.3150598428299
58,250,5000,0.45078125,1161.0,97.52001688585389
59,250,5000,0.5515625,1356.0,91.44819819648846
60,500,5000,0.3078125,1736.0,231.282673627891
61,500,5000,0.3984375,986.0,214.0169850642528
62,500,5000,0.59375,1091.0,209.23000904451726
63,500,5000,0.4015625,1084.0,211.6841011797543
64,500,5000,0.4984375,1404.0,228.8498844322277
65,500,5000,0.5015625,1513.0,214.6004476980563
66,500,5000,0.4984375,777.0,206.39777814482397
67,500,5000,0.403125,561.0,180.98780652493258
68,500,5000,0.5,333.0,117.83741478761053
69,500,5000,0.4046875,1243.0,213.81179173978933
70,500,5000,0.3,1018.0,213.12991873708
71,500,5000,0.303125,1602.0,226.0155526801641
72,500,5000,0.2,1127.0,211.2579663787897
73,500,5000,0.403125,798.0,194.94058339384384
74,500,5000,0.2,603.0,172.14878679836394
75,500,5000,0.3046875,646.0,200.64005798703056
76,500,5000,0.4109375,1192.0,220.68366361281286
77,500,5000,0.4953125,1387.0,218.28011057441495
78,500,5000,0.3046875,702.0,178.80985221469447
79,500,5000,0.5015625,684.0,189.56201725945508
