int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,0.693771626297578,7041.882352941177,16.7551977287285
1,50,5000,0.674163783160323,6454.176470588235,16.716521157929147
2,50,5000,0.6874279123414071,6877.64705882353,16.663166229116
3,50,5000,0.67358708189158,7299.35294117647,16.193972865834095
4,50,5000,0.7001153402537486,6641.35294117647,16.02857119767512
5,50,5000,0.7116493656286045,6782.117647058823,15.740405576721699
6,50,5000,0.640715109573241,7434.64705882353,16.58672479200654
7,50,5000,0.7427912341407151,6434.882352941177,16.332253120172695
8,50,5000,0.668396770472895,6703.117647058823,16.565067563648654
9,50,5000,0.720876585928489,6832.588235294118,16.221570776343157
10,50,5000,0.6758938869665516,6910.470588235294,17.003161714004207
11,50,5000,0.67358708189158,7688.411764705882,15.80983918319592
12,50,5000,0.7070357554786619,6663.058823529412,15.72330977419413
13,50,5000,0.6885813148788926,6713.64705882353,16.91305972070051
14,50,5000,0.6510957324106116,7407.470588235294,15.587535484854538
15,50,5000,0.6822376009227222,7068.117647058823,16.37413228961848
16,50,5000,0.6655132641291809,7091.0,16.33696246368126
17,50,5000,0.7410611303344866,6205.823529411765,16.834504514429984
18,50,5000,0.7687427912341406,6271.823529411765,17.08600963605961
19,50,5000,0.7081891580161479,6957.764705882353,16.281080079295318
80,100,5000,0.2541176470588234,8021.35294117647,21.806488668926544
81,100,5000,0.25882352941176473,8223.235294117647,24.901836046807706
82,100,5000,0.29411764705882354,7715.941176470588,24.525476530561004
83,100,5000,0.23764705882352938,8161.941176470588,24.16361631150832
84,100,5000,0.23647058823529407,8094.588235294118,26.030989106790976
85,100,5000,0.24705882352941175,8049.882352941177,24.776318931015247
86,100,5000,0.31764705882352934,7441.823529411765,25.403750160508636
87,100,5000,0.27529411764705874,8258.29411764706,23.421779277521
88,100,5000,0.2741176470588234,8126.764705882353,24.594392881522776
89,100,5000,0.22941176470588226,8425.29411764706,24.3769305691051
90,100,5000,0.2835294117647058,7524.294117647059,23.91204099775901
91,100,5000,0.22117647058823525,8098.470588235294,25.07631442816889
92,100,5000,0.2870588235294117,7441.176470588235,25.81668268079828
93,100,5000,0.24470588235294108,8347.588235294117,22.021705076680234
94,100,5000,0.2552941176470588,8261.176470588236,24.764333697387222
95,100,5000,0.2776470588235294,8159.058823529412,24.76264234837009
96,100,5000,0.2599999999999999,8084.764705882353,24.811556125466264
97,100,5000,0.25411764705882334,8560.70588235294,21.427561770723322
98,100,5000,0.21647058823529405,8677.470588235294,23.43350584837344
99,100,5000,0.2352941176470588,8308.941176470587,24.25447145029296
160,250,5000,0.00588235294117647,8726.64705882353,37.20704355236989
161,250,5000,0.01470588235294118,9513.35294117647,36.678856069936245
162,250,5000,0.00882352941176471,8752.882352941177,38.592663019181835
163,250,5000,0.01764705882352941,8984.411764705883,35.77059254428034
164,250,5000,0.01176470588235294,8596.0,45.361634774424935
165,250,5000,0.01764705882352941,9037.29411764706,40.57927424920449
166,250,5000,0.02352941176470589,8887.411764705883,40.64281898036274
167,250,5000,0.00294117647058824,8867.117647058823,39.08943119575691
168,250,5000,0.02352941176470588,8894.117647058823,41.45922473019137
169,250,5000,0.01176470588235294,9541.470588235294,34.56979197383844
170,250,5000,0.01176470588235294,8760.29411764706,45.051039102072075
171,250,5000,0.0,9525.117647058823,35.010812102054786
172,250,5000,0.02352941176470589,9047.411764705883,36.27707198282461
173,250,5000,0.01764705882352941,9544.117647058823,35.07318201215008
174,250,5000,0.01764705882352941,9261.882352941177,34.151893081479045
175,250,5000,0.01176470588235294,9089.235294117647,37.08791573438461
176,250,5000,0.00294117647058824,9508.882352941177,40.00561968454821
177,250,5000,0.02058823529411765,8320.70588235294,40.94477297785566
178,250,5000,0.01470588235294118,9703.470588235294,34.47146087139198
179,250,5000,0.01176470588235294,8894.588235294117,33.53297940427143
240,500,5000,0.01176470588235294,9343.176470588236,45.3499546959962
241,500,5000,0.0,9642.411764705883,38.54735923662613
242,500,5000,0.0,9077.529411764706,41.606850969564455
243,500,5000,0.0,9463.882352941177,48.93741520142073
244,500,5000,0.0,9048.588235294117,39.631112606764844
245,500,5000,0.0,9903.764705882353,40.727319435694824
246,500,5000,0.0,9821.235294117647,43.47240836858463
247,500,5000,0.0,9217.235294117647,47.24633202469507
248,500,5000,0.0,9316.823529411764,45.69969253804803
249,500,5000,0.0,9673.29411764706,46.0294759235911
250,500,5000,0.0,9523.0,52.29732219620952
251,500,5000,0.0,9474.117647058823,39.10263340150495
252,500,5000,0.0,9243.117647058823,47.4326018022742
253,500,5000,0.0,9599.764705882353,41.378444712818045
254,500,5000,0.0,9279.29411764706,42.25713601224203
255,500,5000,0.0,9282.411764705883,49.753800394593746
256,500,5000,0.0,9711.70588235294,32.01866746138976
257,500,5000,0.0,9480.70588235294,39.812864717844576
258,500,5000,0.0,9936.70588235294,38.719313194228356
259,500,5000,0.0,9189.235294117647,47.88951270060466
